chapter,page,question_number,answer_type,grading_option1,grading_option2,grading_option3,grading_option4,answer
1.3 합성함수,121,4,단답형,,,,,20
1.3 합성함수,122,5,단답형,,,,,-7
1.3 합성함수,122,6,단답형,,,,,8
1.3 합성함수,122,7,객관식,,,,,②
1.3 합성함수,122,8,단답형,,,,,-1
1.3 합성함수,123,9,단답형,,,,,5
1.3 합성함수,123,10,단답형,,,,,4
1.3 합성함수,123,11,객관식,,,,,①
1.3 합성함수,123,12,객관식,,,,,③
1.3 합성함수,124,13,객관식,,,,,①
1.3 합성함수,124,14,객관식,,,,,①
1.3 합성함수,124,15,객관식,,,,,②
1.3 합성함수,124,16,객관식,,,,,⑤
1.3 합성함수,125,17,단답형,,,,,1
1.3 합성함수,125,18,객관식,,,,,②
1.3 합성함수,125,19,객관식,,,,,①
1.3 합성함수,125,20,객관식,,,,,②
1.3 합성함수,126,21,단답형,,,,,2
1.3 합성함수,126,22,단답형,,,,,-7
1.3 합성함수,126,23,단답형,,,,,3000
1.3 합성함수,126,24,단답형,,,,,6
1.3 합성함수,127,25,객관식,,,,,⑤
1.3 합성함수,127,26,객관식,,,,,②
1.4 역함수,129,1,객관식,,,,,①
1.4 역함수,129,2,객관식,,,,,②
1.4 역함수,129,3,객관식,,,,,①
1.4 역함수,129,4,단답형,,,,,19
1.4 역함수,130,5,단답형,,,,,1
1.4 역함수,130,6,객관식,,,,,③
1.4 역함수,130,7,단답형,,,,,3
1.4 역함수,130,8,단답형,,,,,3
1.4 역함수,131,9,객관식,,,,,③
1.4 역함수,131,10,단답형,,,,,1
1.4 역함수,131,11,객관식,,,,,⑤
1.4 역함수,131,12,객관식,,,,,④
1.4 역함수,132,13,단답형,,,,,2
1.4 역함수,132,14,단답형,,,,,7
1.4 역함수,132,15,단답형,,,,,5
1.4 역함수,132,16,단답형,,,,,1
1.4 역함수,133,17,객관식,,,,,②
1.4 역함수,133,18,객관식,,,,,③
1.4 역함수,133,19,단답형,,,,,10
1.4 역함수,133,20,단답형,,,,,4
1.4 역함수,134,21,단답형,,,,,3
1.4 역함수,134,22,단답형,,,,,10
1.4 역함수,134,23,객관식,,,,,②
1.4 역함수,134,24,객관식,,,,,①
1.4 역함수,135,25,단답형,,,,,5
1.4 역함수,135,26,단답형,,,,,-3
1.4 역함수,135,27,단답형,,,,,16
1.4 역함수,135,28,단답형,,,,,16
1.4 역함수,136,29,단답형,,,,,3
1.4 역함수,136,30,객관식,,,,,②
1.4 역함수,136,31,단답형,,,,,4
1.4 역함수,136,32,객관식,,,,,②
1.4 역함수,137,33,단답형,,,,,-8
1.4 역함수,137,34,객관식,,,,,⑤
2.1 유리식,139,1,객관식,,,,,③
2.1 유리식,139,2,객관식,,,,,①
2.1 유리식,139,3,객관식,,,,,②
2.1 유리식,139,4,객관식,,,,,④
2.1 유리식,140,5,객관식,,,,,②
2.1 유리식,140,6,객관식,,,,,③
2.1 유리식,140,7,객관식,,,,,③
2.1 유리식,140,8,객관식,,,,,④
2.1 유리식,141,9,객관식,,,,,①
2.1 유리식,141,10,객관식,,,,,②
2.1 유리식,141,11,객관식,,,,,⑤
2.1 유리식,141,12,객관식,,,,,②
2.1 유리식,142,13,객관식,,,,,①
2.1 유리식,142,14,객관식,,,,,②
2.1 유리식,142,15,객관식,,,,,④
2.1 유리식,142,16,객관식,,,,,②
2.1 유리식,143,17,단답형,,,,,1
2.1 유리식,143,18,단답형,,,,,-3
2.1 유리식,143,19,단답형,,,,,52
2.1 유리식,143,20,단답형,,,,,14
2.1 유리식,144,21,단답형,,,,,39
2.1 유리식,144,22,객관식,,,,,⑤
2.1 유리식,144,23,객관식,,,,,①
2.1 유리식,144,24,객관식,,,,,③
2.1 유리식,145,25,단답형,,,,,-1
2.1 유리식,145,26,단답형,,,,,-3
2.2 유리함수,147,1,객관식,,,,,③
2.2 유리함수,147,2,객관식,,,,,②
2.2 유리함수,147,3,객관식,,,,,③
2.2 유리함수,147,4,객관식,,,,,③
2.2 유리함수,148,5,객관식,,,,,②
2.2 유리함수,148,6,객관식,,,,,④
2.2 유리함수,148,7,객관식,,,,,④
2.2 유리함수,148,8,객관식,,,,,③
2.2 유리함수,149,9,객관식,,,,,②
2.2 유리함수,149,10,객관식,,,,,②
2.2 유리함수,149,11,객관식,,,,,②
2.2 유리함수,149,12,객관식,,,,,①
2.2 유리함수,150,13,객관식,,,,,③
2.2 유리함수,150,14,객관식,,,,,⑤
2.2 유리함수,150,15,객관식,,,,,②
2.2 유리함수,150,16,객관식,,,,,①
2.2 유리함수,151,17,객관식,,,,,⑤
2.2 유리함수,151,18,객관식,,,,,⑤
2.2 유리함수,151,19,객관식,,,,,④
2.2 유리함수,151,20,객관식,,,,,③
2.2 유리함수,152,21,단답형,,,,,21
2.2 유리함수,152,22,단답형,,,,,-10
2.2 유리함수,152,23,객관식,,,,,①
2.2 유리함수,152,24,객관식,,,,,③
2.2 유리함수,153,25,단답형,,,,,5
2.2 유리함수,153,26,단답형,,,,,-4
2.2 유리함수,153,27,객관식,,,,,②
2.2 유리함수,153,28,단답형,,,,,5
2.2 유리함수,154,29,단답형,,,,,3
2.2 유리함수,154,30,단답형,,,,,6
2.2 유리함수,154,31,객관식,,,,,①
2.2 유리함수,154,32,객관식,,,,,⑤
2.2 유리함수,155,33,객관식,,,,,①
2.2 유리함수,155,34,단답형,,,,,2
2.2 유리함수,155,35,단답형,,,,,12
2.2 유리함수,155,36,단답형,,,,,0
3.1 무리식,157,1,객관식,,,,,②
3.1 무리식,157,2,객관식,,,,,⑤
3.1 무리식,157,3,객관식,,,,,③
3.1 무리식,157,4,객관식,,,,,④
3.1 무리식,158,5,객관식,,,,,②
3.1 무리식,158,6,객관식,,,,,②
3.1 무리식,158,7,객관식,,,,,⑤
3.1 무리식,158,8,단답형,,,,,1
3.2 무리함수,159,1,객관식,,,,,②
3.2 무리함수,159,2,객관식,,,,,②
3.2 무리함수,159,3,객관식,,,,,③
3.2 무리함수,159,4,객관식,,,,,②
3.2 무리함수,160,5,객관식,,,,,⑤
3.2 무리함수,160,6,객관식,,,,,②
3.2 무리함수,160,7,객관식,,,,,⑤
3.2 무리함수,160,8,객관식,,,,,③
3.2 무리함수,161,9,객관식,,,,,④
3.2 무리함수,161,10,객관식,,,,,④
3.2 무리함수,161,11,객관식,,,,,②
3.2 무리함수,161,12,객관식,,,,,④
3.2 무리함수,162,13,객관식,,,,,③
3.2 무리함수,162,14,객관식,,,,,③
3.2 무리함수,162,15,객관식,,,,,⑤
3.2 무리함수,162,16,단답형,,,,,3
3.2 무리함수,163,17,단답형,,,,,7
3.2 무리함수,163,18,단답형,,,,,-5
3.2 무리함수,163,19,단답형,,,,,4
3.2 무리함수,163,20,단답형,,,,,3
3.2 무리함수,164,21,단답형,,,,,-3
3.2 무리함수,164,22,객관식,,,,,②
3.2 무리함수,164,23,단답형,,,,,3
3.2 무리함수,164,24,단답형,,,,,5/3
3.2 무리함수,165,25,객관식,,,,,⑤
3.2 무리함수,165,26,단답형,,,,,4
3.2 무리함수,165,27,객관식,,,,,④
3.2 무리함수,165,28,단답형,,,,,3
3.2 무리함수,166,29,객관식,,,,,②
3.2 무리함수,166,30,단답형,,,,,-3
